ACTIONTIME,ACTIONCODE,NODE,NODEALIAS,SEVERITY,SUMMARY,CSL_COMPONENTTYPE
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,5,Line protocol state on the interface GigabitEthernet1/0/12 changed to down.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,5,Physical state on the interface GigabitEthernet1/0/12 changed to down.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,4,Physical state on the interface GigabitEthernet1/0/12 changed to down.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,4,Line protocol state on the interface GigabitEthernet1/0/12 changed to down.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,4,Line protocol state on the interface GigabitEthernet1/0/12 changed to up.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,5,Physical state on the interface GigabitEthernet1/0/12 changed to up.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,5,Line protocol state on the interface GigabitEthernet1/0/12 changed to up.,网络设备
2019/1/18 17:02,U,3.255.252.156,YZXMSW25,4,Physical state on the interface GigabitEthernet1/0/12 changed to up.,网络设备
2019/1/18 17:02,I,3.12.31.42,pocdb32,5,数据库异常：'ORA-00230: operation disallowed: snapshot control file enqueue unavailable',数据库
2019/1/18 17:02,U,3.255.251.129,YZXCRT01,5,"1.3.6.1.2.1.80.0.1<pingProbeFailed> NQA entry yygs yygs probe fail trap information: pingCtlOwnerIndex: yygs, pingCtlTestName: yygs, pingCtlTargetAddressType: 1, pingCtlTargetAddress: 172.29.11.26, pingResultsOperStatus: 1, pingResultsIpTargetAddressType",网络设备
2019/1/18 17:02,I,3.12.31.42,pocdb32,5,数据库异常：'ORA-00230: operation disallowed: snapshot control file enqueue unavailable',数据库
2019/1/18 17:02,I,3.12.31.42,pocdb32,5,数据库异常：'ORA-00230: operation disallowed: snapshot control file enqueue unavailable',数据库
2019/1/18 17:02,U,3.11.10.221,yz-pprcs-0101,5,"在'17:01:05:477',monitor日志发生'FATAL',错误代码'0512221102',线程号为:'25975','send: tpacall/tpcall ILTSCOMM 失败, errorCode = 10, tpstrerror = NLS:4: Cannot open message catalog LIBWSC_CAT, set 1, num 1140;; check TUXDIR=/oracle/product/tu",应用
2019/1/18 17:02,I,3.12.31.42,pocdb32,5,数据库异常：'ORA-00230: operation disallowed: snapshot control file enqueue unavailable',数据库
2019/1/18 17:01,U,3.255.252.156,YZXMSW25,5,Physical state on the interface GigabitEthernet1/0/12 changed to down.,网络设备
2019/1/18 17:01,U,3.255.252.156,YZXMSW25,5,Line protocol state on the interface GigabitEthernet1/0/12 changed to up.,网络设备
2019/1/18 17:01,U,3.255.252.156,YZXMSW25,5,Physical state on the interface GigabitEthernet1/0/12 changed to up.,网络设备
